tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	bed_dip	bed_dip_direction	citations	composite_depth	conglomerate_test	contact_test	core_depth	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	elevation	external_database_ids	geographic_precision	geologic_classes	geologic_types	height	instrument_codes	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	magn_mass	magn_volume	method_codes	paleolat	paleolon	result_quality	result_type	samples	scientists	site	site_alternatives	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
-2000			300	Years AD (+/-)				10.1016/0012-821X(69)90094-6						geomagia50 record. GEOMAGIA50:2723, geomagia50 v 2. 0 record.														ARCHEOINTB [ 2723]: GEOMAGIA50[ ArcheoIntNB227 ]:CALS7K.2 [none ]						0.0000384	0.0000038	9.9	10	10	29.2		Egypt	31.8			LP-PI-TRM			g	i			2723				7.59E+22		7.5E+21		10						
42.9			7.8	Ka				10.1016/0012-821X(90)90019-T						GroupC	5.3		258.3	-10	28				p	n		100				Igneous:Archeologic	Lava Flow								63.9	Basalt	Iceland	337.8			LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:LP-DC5				i			GroupC												-12.1	255.2	
4.45			0.65	Ma				Perrin & Schnepp 2004:10.1029/JB089IB12P10341						PINT:Kukui Trail 30, VDM recalculated by MagIC team. VADM calculated using present site lat.	1		2.1	33.3	3839				p	n		100				Extrusive:Igneous	Lava Flow			4.43e-05	3e-07	0.7			22.1	unknown	Hawaii	200.6			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	22.1			i			Kukui Trail 30				9.58e+22	2		1.006e+23	2				85.6	353.5	
4.45			0.65	Ma				Perrin & Schnepp 2004:10.1029/JB089IB12P10341						PINT:Kukui Trail 32, VDM recalculated by MagIC team. VADM calculated using present site lat.	1.3		359.5	32	2509				p	n		100				Extrusive:Igneous	Lava Flow			4.44e-05	3e-07	0.7			22.1	unknown	Hawaii	200.6			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM	22.1			i			Kukui Trail 32				9.601e+22	2		1.018e+23	2				85.2	26.3	
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.796	Basalt	9 N East Pacific Rise	255.7145			FS-C-WAX							2354-2														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.8879	Basalt	9 N East Pacific Rise	255.7022			FS-C-WAX							2359-4														
								10.1029/2005GC001141						2359-4																				3.53e-05	1.3e-06		5		9.8879		9 N East Pacific Rise	255.7022			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2359-4														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.7747	Basalt	9 N East Pacific Rise	255.7204			FS-C-WAX							2360-6														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.2797	Basalt	9 N East Pacific Rise	255.7818			FS-C-WAX							2365-4														
								10.1029/2005GC001141						2365-4																				3.46e-05	3.3e-06		2		9.2797		9 N East Pacific Rise	255.7818			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2365-4														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.6027	Basalt	9 N East Pacific Rise	255.7498			FS-C-WAX							2371-2														
								10.1029/2005GC001141						2371-2																				4.55e-05			1		9.6027		9 N East Pacific Rise	255.7498			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2371-2														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.5308	Basalt	9 N East Pacific Rise	255.7605			FS-C-WAX							2488-4														
								10.1029/2005GC001141						2488-4																				3.57e-05			1		9.5308		9 N East Pacific Rise	255.7605			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2488-4														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.5305	Basalt	9 N East Pacific Rise	255.7704			FS-C-WAX							2488-7														
								10.1029/2005GC001141						2488-7																				2.93e-05			1		9.5305		9 N East Pacific Rise	255.7704			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2488-7														
