tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	bed_dip	bed_dip_direction	citations	composite_depth	conglomerate_test	contact_test	core_depth	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	elevation	external_database_ids	geographic_precision	geologic_classes	geologic_types	height	instrument_codes	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	magn_mass	magn_volume	method_codes	paleolat	paleolon	result_quality	result_type	samples	scientists	site	site_alternatives	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
								BURLATSKAYA ET AL. (1995)																						Archeologic	Baked Clay								37.6	Not Specified	Turkmenistan	61.8			LP-PI							2901														
296			104	Years AD (+/-)				BURLATSKAYA ET AL. (1995)						geomagia50 record. GEOMAGIA50:2901, geomagia50 v 2. 0 record.														ARCHEOINTB [ 2901]: GEOMAGIA50[ ArcheoIntNB1037 ]:CALS7K.2 [none ]						0.0000497	0.0000103	20.7	2	2	37.6		Turkmenistan	61.8			LP-PI-ALT-PTRM:LP-PI-TRM			g	i			2901				8.83E+22		1.83E+22		2						
								KOVACHEVA ET AL. (2000)																						Archeologic	Pottery								35.3	Not Specified	Greece	25			LP-PI							2871														
-2825			175	Years AD (+/-)				KOVACHEVA ET AL. (2000)						geomagia50 record. GEOMAGIA:2871, geomagia50 record.																				0.0000205	0.0000042	20.5	1	1	35.3		Greece	25			DA-NO:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			2871				3.75E+22		7.7E+21		1						
								This study																						Extrusive:Igneous	Lava Flow									Basalt	Hawaii											hw113														
								This study																						Extrusive:Igneous	Lava Flow									Basalt	Hawaii											hw210														
								This study						paleointensity mean																Extrusive:Igneous	Lava Flow			3.69e-05	1.36e-06	3.68	5			Basalt	Hawaii				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g				hw211		thellier_gui.v.2.26:pmagpy-3.0.2	hw211a2:hw211a3:hw211a5:hw211b2:hw211b5											
								This study						paleointensity mean																Extrusive:Igneous	Lava Flow			4.99e-05	4.91e-06	9.84	5			Basalt	Hawaii				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g				hw231		thellier_gui.v.2.26:pmagpy-3.0.2	hw231a2:hw231a3:hw231a6:hw231a7:hw231ab											
942			59	Years BP				This study					ACCEPT	Paleointensity;V[A]DM;hw231, Paleointensity; V[A]DM																Extrusive:Igneous	Lava Flow			0.0000499	0.00000491	9.84	5		19.07460	Basalt	Hawaii	204.25311			GM-C14:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM				i			hw231		thellier_gui.v.2.26:pmagpy-3.0.2	hw231a2:hw231a3:hw231a6:hw231a7:hw231ab	1.12E+23		1.10E+22								
								This study						paleointensity mean																Extrusive:Igneous	Lava Flow			4.92e-05	4.13e-07	0.84	3			Basalt	Hawaii				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g				hw105		thellier_gui.v.2.26:pmagpy-3.0.2	hw105a1:hw105a4:hw105a5											
2798			89.4	Years BP				This study					ACCEPT	Paleointensity;V[A]DM;hw105, Paleointensity; V[A]DM																Extrusive:Igneous	Lava Flow			0.0000492	0.000000413	0.84	3		19.78445	Basalt	Hawaii	204.09979			GM-C14:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM				i			hw105		thellier_gui.v.2.26:pmagpy-3.0.2	hw105a1:hw105a4:hw105a5	1.10E+23		9.21E+20								
								This study																						Extrusive:Igneous	Lava Flow									Basalt	Hawaii											hw117														
								This study						paleointensity mean																Extrusive:Igneous	Lava Flow			4.47e-05	1.44e-06	3.21	4			Basalt	Hawaii				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g				hw121		thellier_gui.v.2.26:pmagpy-3.0.2	hw121a1:hw121a5:hw121b3:hw121b4											
3393			57	Years BP				This study					ACCEPT	Paleointensity;V[A]DM;hw121, Paleointensity; V[A]DM																Extrusive:Igneous	Lava Flow			0.00004751	0.00000408	8.58	8		19.06497	Basalt	Hawaii	204.38675			GM-C14:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM				i			hw121		thellier_gui.v.2.26:pmagpy-3.0.2	hw121a1:hw121a5:hw121b3:hw121b4:hw234a1:hw234a3:hw234a4:hw234b3	1.07E+23		9.20E+21								
								This study						paleointensity mean																Extrusive:Igneous	Lava Flow			3.50e-05	2.43e-06	6.94	5			Basalt	Hawaii				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g				hw209		thellier_gui.v.2.26:pmagpy-3.0.2	hw209a1:hw209b1:hw209b3:hw209b5:hw209c3											
2072			37	Years BP				This study					ACCEPT	Paleointensity;V[A]DM;hw209, Paleointensity; V[A]DM																Extrusive:Igneous	Lava Flow			0.000035	0.00000243	6.94	5		19.23524	Basalt	Hawaii	204.52073			GM-C14:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM				i			hw209		thellier_gui.v.2.26:pmagpy-3.0.2	hw209a1:hw209b1:hw209b3:hw209b5:hw209c3	7.86E+22		5.46E+21								
4.0			4.0	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	4.4	A	36.3	-85.7	235.0	6.0	6.0	0.0	p	n	5.9787	0.0				Extrusive:Igneous	Lava Flow								-78.199	Trachyte	McMurdo	166.584			DA-DIR-GEO:DE-BFL:DE-FM			g				mc133		pmagpy-2.60	mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1:mc133b2											
4.0			4.0	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			4.6299999999999994e-05	3.454e-06	7.46	2.0		-78.199	Trachyte	McMurdo	166.584			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g		mc133g:mc133f		mc133		pmagpy-2.60	mc133g1:mc133f1											
0.348			0.004	Ma	Lisa Tauxe			This study					DE-SPEC	10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. Direction included in Pmag_Results.	2.3	A	352.0	-82.7	864.7	6.0	6.0	0.0	p	n	5.9942	0.0				Extrusive:Igneous	Lava Flow								-77.84	Basalt	McMurdo	166.76			DA-DIR-GEO:DE-BFL:DE-FM			g				mc03		pmagpy-2.60	mc03b : mc03c : mc03d : mc03f : mc03h:mc03a											
0.34			0.003	Ma	Lisa Tauxe			This study					DE-SPEC	Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Direction included in Pmag_Results.	4.6	A	352.1	-86.8	292.3	5.0	4.0	1.0	p	n	4.988	0.0				Intrusive:Igneous	Volcanic Dike								-77.84	Basalt	McMurdo	166.7			DA-DIR-GEO:DE-BFL:DE-FM			g				mc04		pmagpy-2.60	mc04b : mc04e : mc04f : mc04g:mc04a											
0.07400000000000001			0.0075	Ma	Lisa Tauxe			This study					DE-SPEC	Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Direction included in Pmag_Results.	3.6	A	259.9	-82.7	234.2	8.0	8.0	0.0	p	n	7.9701	0.0				Extrusive:Igneous	Lava Flow								-77.55	Trachyte	McMurdo	166.2			DA-DIR-GEO:DE-BFL:DE-FM			g				mc09		pmagpy-2.60	mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h:mc09a											
0.07400000000000001			0.0075	Ma	Lisa Tauxe			This study					IE-SPEC	Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			2.71e-05	1.007e-06	3.715	3.0		-77.55	Trachyte	McMurdo	166.2			IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM			g		mc09b : mc09d:mc09a		mc09		pmagpy-2.60	mc09b : mc09d:mc09a											
1.261			0.02	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	3.1	A	174.6	75.4	477.4	6.0	6.0	0.0	p	r	5.9895	0.0				Extrusive:Igneous	Lava Flow								-78.282	Basalt	McMurdo	163.54399999999998			DA-DIR-GEO:DE-BFL:DE-FM			g				mc109		pmagpy-2.60	mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1:mc109a1											
1.261			0.02	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			3.48e-05	1.152e-06	3.3089999999999997	3.0		-78.282	Basalt	McMurdo	163.54399999999998			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g		mc109c : mc109d:mc109a		mc109		pmagpy-2.60	mc109c1 : mc109d1:mc109a1											
1.99			0.02	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	1.7	A	47.9	-67.6	1243.3	7.0	7.0	0.0	p	n	6.9952	0.0				Extrusive:Igneous	Lava Flow								-78.22399999999999	Basalt	McMurdo	162.787			DA-DIR-GEO:DE-BFL:DE-FM			g				mc111		pmagpy-2.60	mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1:mc111a2											
1.99			0.02	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			2.7899999999999997e-05	4.299e-07	1.541	2.0		-78.22399999999999	Basalt	McMurdo	162.787			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g		mc111e:mc111d		mc111		pmagpy-2.60	mc111e2:mc111d2											
1.08			0.11	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	2.3	A	124.8	49.0	864.8	6.0	6.0	0.0	p	r	5.9942	0.0				Extrusive:Igneous	Lava Flow								-78.23899999999999	Basalt	McMurdo	162.957			DA-DIR-GEO:DE-BFL:DE-FM			g				mc119		pmagpy-2.60	mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2:mc119a1											
1.08			0.11	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			4.097e-05	1.9469999999999997e-06	4.753	5.0		-78.23899999999999	Basalt	McMurdo	162.957			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g		mc119b : mc119d : mc119e : mc119f:mc119a		mc119		pmagpy-2.60	mc119b1 : mc119d2 : mc119e2 : mc119f2:mc119a1											
4.26			0.09	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	5.4	A	345.0	-67.7	92.4	9.0	9.0	0.0	p	n	8.9134	0.0				Intrusive:Igneous	Volcanic Dike								-78.25399999999999	Basalt	McMurdo	163.73			DA-DIR-GEO:DE-BFL:DE-FM			g				mc125		pmagpy-2.60	mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1:mc125a1											
4.26			0.09	Ma	Lisa Tauxe			This study					IE-SPEC																	Intrusive:Igneous	Volcanic Dike			2.592e-05	0.0	0.0	1.0		-78.25399999999999	Basalt	McMurdo	163.73			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g		mc125i		mc125		pmagpy-2.60	mc125i1											
4.0			4.0	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	2.3	A	22.1	-54.5	490.9	9.0	9.0	0.0	p	n	8.9837	0.0				Intrusive:Igneous	Volcanic Dike								-78.214	Basalt	McMurdo	166.577			DA-DIR-GEO:DE-BFL:DE-FM			g				mc129		pmagpy-2.60	mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1:mc129a1											
7.251			0.035	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	3.3	A	150.5	46.1	405.9	6.0	6.0	0.0	p	r	5.9877	0.0				Extrusive:Igneous	Lava Flow								-78.21	Basalt	McMurdo	166.579			DA-DIR-GEO:DE-BFL:DE-FM			g				mc130		pmagpy-2.60	mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2:mc130a1											
1.9			0.06	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	3.5	A	28.6	2.7	378.0	6.0	6.0	0.0	p	t	5.9868	0.0				Extrusive:Igneous	Lava Flow								-78.24	Basalt	McMurdo	162.893			DA-DIR-GEO:DE-BFL:DE-FM			g				mc145		pmagpy-2.60	mc145f1 : mc145i1 : mc145j1 : mc145k2 : mc145l1:mc145b1											
1.9			0.06	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			6.942000000000001e-06	2.1550000000000002e-07	3.105	4.0		-78.24	Basalt	McMurdo	162.893			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g		mc145f : mc145k : mc145l:mc145c		mc145		pmagpy-2.60	mc145f1 : mc145k2 : mc145l1:mc145c2											
1.37			0.21	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	5.6	A	236.3	62.0	117.8	7.0	7.0	0.0	p	r	6.9491	0.0				Extrusive:Igneous	Lava Flow								-78.22	Basalt	McMurdo	162.963			DA-DIR-GEO:DE-BFL:DE-FM			g				mc146		pmagpy-2.60	mc146d1 : mc146e1 : mc146f1 : mc146h1 : mc146j1 : mc146k1:mc146a1											
1.37			0.21	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			1.721e-05	7.085e-07	4.118	2.0		-78.22	Basalt	McMurdo	162.963			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g		mc146f:mc146e		mc146		pmagpy-2.60	mc146f1:mc146e1											
0.718			0.33	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	5.7	A	282.1	-80.2	140.6	6.0	6.0	0.0	p	n	5.9644	0.0				Extrusive:Igneous	Lava Flow								-77.492	Basalt	McMurdo	167.24900000000002			DA-DIR-GEO:DE-BFL:DE-FM			g				mc148		pmagpy-2.60	mc148b1 : mc148f1 : mc148i1 : mc148j1 : mc148k1:mc148a1											
0.718			0.33	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			5.156e-05	1.5580000000000002e-06	3.0210000000000004	3.0		-77.492	Basalt	McMurdo	167.24900000000002			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:LP-PI-TRM			g		mc148i : mc148j:mc148d		mc148		pmagpy-2.60	mc148i1 : mc148j1:mc148d1											
2.19			0.04	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	3.7	A	297.9	87.1	429.1	5.0	5.0	0.0	p	r	4.9907	0.0				Extrusive:Igneous	Lava Flow								-77.719	Basalt	McMurdo	162.626			DA-DIR-GEO:DE-BFL:DE-FM			g				mc154		pmagpy-2.60	mc154b1 : mc154e1 : mc154f1 : mc154h1:mc154a1											
2.19			0.04	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			7.97e-06	9.535e-07	11.96	2.0		-77.719	Basalt	McMurdo	162.626			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g		mc154j:mc154a		mc154		pmagpy-2.60	mc154j2:mc154a2											
1.5			0.75	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	4.2	A	175.6	51.5	261.2	6.0	5.0	1.0	p	r	5.9828	0.0				Extrusive:Igneous	Lava Flow								-77.7	Basalt	McMurdo	162.68			DA-DIR-GEO:DE-BFL:DE-FM			g				mc163		pmagpy-2.60	mc163b1 : mc163c1 : mc163d1 : mc163e1 : mc163f1:mc163a1											
1.364			0.05	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	1.1	A	199.9	86.1	1912.3	10.0	10.0	0.0	p	r	9.9953	0.0				Extrusive:Igneous	Lava Flow								-77.514	Basalt	McMurdo	169.33			DA-DIR-GEO:DE-BFL:DE-FM			g				mc164		pmagpy-2.60	mc164a2 : mc164b1 : mc164c1 : mc164f1 : mc164g2 : mc164h1 : mc164i1 : mc164j1 : mc164l2:mc164a1											
1.364			0.05	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			8.129e-05	6.482999999999999e-08	0.07975	3.0		-77.514	Basalt	McMurdo	169.33			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM			g		mc164f : mc164j:mc164c		mc164		pmagpy-2.60	mc164f1 : mc164j1:mc164c1											
1.5			0.75	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	5.7	A	179.7	74.5	82.1	9.0	9.0	0.0	p	r	8.9026	0.0				Extrusive:Igneous	Lava Flow								-77.487	Basalt	McMurdo	169.294			DA-DIR-GEO:DE-BFL:DE-FM			g				mc167		pmagpy-2.60	mc167b1 : mc167d2 : mc167e1 : mc167e2 : mc167f2 : mc167h1 : mc167j1 : mc167k1:mc167a1											
1.5			0.75	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			4.346e-05	1.128e-06	2.596	3.0		-77.487	Basalt	McMurdo	169.294			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:LP-PI-TRM			g		mc167d : mc167k:mc167b		mc167		pmagpy-2.60	mc167d2 : mc167k1:mc167b1											
4.0			4.0	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	2.8	A	146.8	-78.4	474.8	7.0	6.0	1.0	p	n	6.9884	0.0				Extrusive:Igneous	Lava Flow								-77.86	Basalt	McMurdo	165.23			DA-DIR-GEO:DE-BFL:DE-FM			g				mc19		pmagpy-2.60	mc19b : mc19c : mc19d : mc19e : mc19f : mc19g:mc19a											
4.0			4.0	Ma	Lisa Tauxe			This study					IE-SPEC																	Extrusive:Igneous	Lava Flow			2.518e-05	0.0	0.0	1.0		-77.86	Basalt	McMurdo	165.23			IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM			g		mc19b		mc19		pmagpy-2.60	mc19b											
2.5			2.5	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	1.0	A	177.5	77.4	2549.0	10.0	10.0	0.0	p	r	9.9965	0.0				Extrusive:Igneous	Lava Flow								-77.22355	Basalt	McMurdo	166.4294			DA-DIR-GEO:DE-BFL:DE-FM			g				mc214		pmagpy-2.60	mc214b1 : mc214b2 : mc214d1 : mc214d2 : mc214g1 : mc214g2 : mc214h1 : mc214j1 : mc214j2:mc214a2											
2.5			2.5	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			4.381e-05	3.1260000000000002e-06	7.1339999999999995	5.0		-77.22355	Basalt	McMurdo	166.4294			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM			g		mc214d : mc214g : mc214h : mc214j:mc214b		mc214		pmagpy-2.60	mc214d1 : mc214g1 : mc214h1 : mc214j1:mc214b1											
0.026000000000000002			0.005	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	5.8	A	348.6	-82.0	108.2	7.0	7.0	0.0	p	n	6.9446	0.0				Extrusive:Igneous	Lava Flow								-77.56218	Basalt	McMurdo	166.97756			DA-DIR-GEO:DE-BFL:DE-FM			g				mc218		pmagpy-2.60	mc218d1 : mc218d2 : mc218i1 : mc218i2 : mc218j1 : mc218j2:mc218b2											
0.026000000000000002			0.005	Ma	Lisa Tauxe			This study					IE-SPEC	Intensity included in Pmag_Results.																Extrusive:Igneous	Lava Flow			3.43e-05	2.48e-06	7.231	5.0		-77.56218	Basalt	McMurdo	166.97756			IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:SM-TTEST:LP-PI-TRM			g		mc218b : mc218d : mc218i : mc218j:mc218a		mc218		pmagpy-2.60	mc218b1 : mc218d1 : mc218i1 : mc218j1:mc218a1											
4.5			0.3	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	1.4	A	220.3	60.3	2807.9	5.0	5.0	0.0	p	r	4.9986	0.0				Extrusive:Igneous	Lava Flow								-77.27064	Basalt	McMurdo	166.73278			DA-DIR-GEO:DE-BFL:DE-FM			g				mc227		pmagpy-2.60	mc227c2 : mc227d2 : mc227f2 : mc227h2:mc227b2											
0.06			0.003	Ma	Lisa Tauxe			This study					DE-SPEC	Young looking basalt flow on NW flank of Mount Discovery. Young looking basalt flow on NW flank of Mount Discovery. Young looking basalt flow on NW flank of Mount Discovery. Young looking basalt flow on NW flank of Mount Discovery. Young looking basalt flow on NW flank of Mount Discovery. Young looking basalt flow on NW flank of Mount Discovery. Young looking basalt flow on NW flank of Mount Discovery. Young looking basalt flow on NW flank of Mount Discovery. Young looking basalt flow on NW flank of Mount Discovery. Direction included in Pmag_Results.	6.7	A	80.4	-84.1	82.1	7.0	7.0	0.0	p	n	6.9269	0.0				Extrusive:Igneous	Lava Flow								-78.29	Basalt	McMurdo	164.73			DA-DIR-GEO:DE-BFL:DE-FM			g				mc28		pmagpy-2.60	mc28b : mc28c : mc28d : mc28f : mc28g : mc28h:mc28a											
0.06			0.003	Ma	Lisa Tauxe			This study					IE-SPEC	Young looking basalt flow on NW flank of Mount Discovery.																Extrusive:Igneous	Lava Flow			1.29e-05	0.0	0.0	1.0		-78.29	Basalt	McMurdo	164.73			IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM			g		mc28b		mc28		pmagpy-2.60	mc28b											
4.0			4.0	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	3.0	A	9.6	-75.7	349.4	8.0	8.0	0.0	p	n	7.98	0.0				Extrusive:Igneous	Lava Flow								-78.38	Basalt	McMurdo	164.34			DA-DIR-GEO:DE-BFL:DE-FM			g				mc33		pmagpy-2.60	mc33b : mc33c : mc33d : mc33e : mc33f : mc33g : mc33h:mc33a											
4.0			4.0	Ma	Lisa Tauxe			This study					DE-SPEC	Direction included in Pmag_Results.	3.4	A	279.0	-81.4	309.9	7.0	7.0	0.0	p	n	6.9806	0.0				Extrusive:Igneous	Lava Flow								-78.39	Basalt	McMurdo	164.27			DA-DIR-GEO:DE-BFL:DE-FM			g				mc34		pmagpy-2.60	mc34b : mc34c : mc34d : mc34e : mc34f : mc34h:mc34a											
4.0			4.0	Ma	Lisa Tauxe			This study					IE-SPEC																	Extrusive:Igneous	Lava Flow			2.305e-05	0.0	0.0	1.0		-78.39	Basalt	McMurdo	164.27			IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM			g		mc34c		mc34		pmagpy-2.60	mc34c											
1536				Years AD (+/-)				ROLPH & SHAW (1986)						1536	2.8		0.7	60.5					p	n		100		GEOMAGIA50[2974]		Igneous:Archeologic	Lava Flow			5.1e-05	5.6e-06				37.7	Not Specified	Italy	15			LP-PI-ALT-AFARM:LP-PI-TRM:DE-BFL:LP-DC4				i			1536														
1537				Years AD (+/-)				ROLPH & SHAW (1986)						1537	2.3		4	59.9					p	n		100				Igneous:Archeologic	Lava Flow								37.7	Not Specified	Italy	15			LP-PI-ALT-AFARM:LP-PI-TRM:DE-BFL:LP-DC4				i			1537														
1689				Years AD (+/-)				ROLPH & SHAW (1986)						1689	2.3		351.4	64					p	n		100		GEOMAGIA50[2981]		Igneous:Archeologic	Lava Flow			3.56e-05	3e-06				37.7	Not Specified	Italy	15			LP-PI-ALT-AFARM:LP-PI-TRM:DE-BFL:LP-DC4				i			1689														
1792				Years AD (+/-)				ROLPH & SHAW (1986)						1792	5.9		333	57.9					p	n		100		GEOMAGIA50[2984]		Igneous:Archeologic	Lava Flow			3.61e-05	4.1e-06				37.7	Not Specified	Italy	15			LP-PI-ALT-AFARM:LP-PI-TRM:DE-BFL:LP-DC4				i			1792														
1949				Years AD (+/-)				ROLPH & SHAW (1986)						1949									p	n		100		GEOMAGIA50[2993]		Igneous:Archeologic	Lava Flow			4.01e-05	1.5e-06				37.7	Not Specified	Italy	15			LP-PI-ALT-AFARM:LP-PI-TRM:DE-BFL:LP-DC4				i			1949														
								MOMOSE (1963)																						Igneous	Lava Flow								36	Not Specified	Japan	138	0.00163		LP-PI-TRM			g				Fukazawa9														
3.5			1.5	Ma				MOMOSE (1963)						Fukazawa9			19	61					p	n		100		PINT[506]		Igneous	Lava Flow			3.375e-05					36	Not Specified	Japan	138			LP-DIR:LP-PI-TRM:DE-BFL:LP-DC3				i			Fukazawa9												74	191	
								MOMOSE (1963)																						Igneous	Lava Flow								36	Not Specified	Japan	138			LP-PI-TRM			g				IizunaA														
3.5			1.5	Ma				MOMOSE (1963)						IizunaA			-5	45					p	n		100		PINT[511]		Igneous	Lava Flow			7.155e-05					36	Not Specified	Japan	138			LP-DIR:LP-PI-TRM:DE-BFL:LP-DC3				i			IizunaA												81	103	
